time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
570.0709,0.2421,0.9522,0.4197,2.9404,245.6034,282.5914
570.0834,0.2416,0.9538,0.4155,4.7197,245.5708,286.5075
570.0929,0.2402,0.9533,0.4144,5.4947,245.3628,288.2177
570.1038,0.2414,0.9533,0.4182,5.0402,247.7413,285.0204
570.1149,0.2426,0.9544,0.4184,4.3252,248.4556,286.2344
570.126,0.2433,0.9552,0.4177,3.6266,247.6463,286.1618
570.1372,0.2437,0.9557,0.4174,3.8613,247.3279,286.5381
570.1484,0.2442,0.9556,0.4187,4.0534,248.3377,286.4868
570.1595,0.2446,0.9553,0.4186,3.9269,248.1971,286.5341
570.1707,0.2442,0.9546,0.4185,4.1724,247.9912,286.1933
570.1817,0.2439,0.954,0.4184,4.1392,247.9349,285.8555
570.1928,0.2433,0.9534,0.4182,3.9759,247.6097,285.6065
570.2042,0.2428,0.953,0.4181,3.8966,247.3755,285.3789
570.2151,0.2423,0.9526,0.418,3.7929,247.0947,285.2271
570.2266,0.2419,0.9528,0.4181,3.7249,246.9079,285.3961
570.2372,0.2418,0.9528,0.4183,3.7772,246.8542,285.3583
570.2484,0.2416,0.9526,0.4183,3.7886,246.753,285.2608
570.2596,0.2415,0.9526,0.4184,3.9098,246.715,285.2809
570.2707,0.2414,0.9527,0.4184,3.9624,246.7459,285.274
570.2817,0.2413,0.9528,0.4182,3.9654,246.5983,285.3618
570.293,0.2411,0.9528,0.418,4.0687,246.5432,285.4124
570.304,0.241,0.9529,0.418,4.1186,246.5032,285.4379
570.3151,0.2409,0.9528,0.4178,4.1487,246.4972,285.4605
570.3262,0.2408,0.9528,0.4179,4.1548,246.5202,285.4712
570.3375,0.2408,0.9528,0.4179,4.1569,246.5431,285.4807
570.3488,0.2408,0.9528,0.4179,4.1748,246.558,285.4882
570.3597,0.2407,0.9528,0.418,4.1845,246.5688,285.4859
570.3707,0.2407,0.9527,0.4181,4.1849,246.5881,285.4558
570.3817,0.2408,0.9525,0.4183,4.1528,246.6009,285.3992
570.3928,0.2408,0.9522,0.4184,4.0564,246.5591,285.2699
570.404,0.2408,0.9521,0.4186,3.9819,246.514,285.1609
570.415,0.2408,0.9519,0.4186,3.8452,246.3974,285.1207
570.4261,0.2408,0.9518,0.4187,3.7454,246.2735,285.074
570.4374,0.2407,0.9518,0.4187,3.6848,246.1635,285.0573
570.4484,0.2405,0.9517,0.4189,3.7659,246.0999,285.0079
570.4597,0.2404,0.9517,0.419,3.8035,245.9518,284.9037
570.4706,0.2402,0.9517,0.4192,3.869,245.7621,284.7944
570.4818,0.2399,0.9517,0.4194,3.8828,245.5122,284.6458
570.493,0.2395,0.9516,0.4197,3.9683,245.2055,284.3868
570.504,0.2391,0.9518,0.4197,3.9236,244.5689,284.434
570.5153,0.2387,0.9521,0.4199,3.6693,243.7928,284.3513
570.5261,0.2381,0.9524,0.4205,3.3253,243.1465,284.1479
