time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
708.1615,0.2458,0.9528,0.4224,1.0672,244.4169,286.4041
708.1743,0.2452,0.9522,0.4201,0.8676,244.3124,286.1307
708.1835,0.2443,0.9525,0.4183,0.9421,244.3252,287.0499
708.1946,0.2435,0.952,0.4182,1.1625,244.9676,287.1473
708.2061,0.2435,0.9521,0.4183,0.5818,245.572,286.6874
708.2169,0.2436,0.953,0.419,0.1444,246.0341,286.7596
708.228,0.2438,0.9534,0.4189,359.9203,246.0595,287.2166
708.2391,0.2436,0.9535,0.4184,359.825,245.5839,287.0746
708.2501,0.2434,0.9536,0.4181,359.919,245.3294,287.1205
708.2614,0.2433,0.9535,0.4185,0.1001,245.5272,286.9875
708.2725,0.2429,0.9535,0.4183,0.2689,245.6477,286.9125
708.2836,0.2424,0.9535,0.4179,0.3983,245.4033,287.0059
708.2946,0.242,0.9537,0.4174,0.5105,245.2606,287.2139
708.3058,0.2415,0.9539,0.4171,0.7037,245.2972,287.3735
708.3168,0.2411,0.954,0.4168,0.8742,245.2335,287.5126
708.3278,0.2406,0.9541,0.4165,1.0278,245.1269,287.6937
708.3391,0.2402,0.9539,0.4163,1.1311,245.0986,287.8161
708.3503,0.2399,0.9539,0.4162,1.1174,244.9764,287.933
708.3615,0.2395,0.9535,0.4164,1.1781,244.9586,287.8895
708.3726,0.2393,0.9531,0.4165,1.2102,244.8677,287.8382
708.3836,0.239,0.9526,0.4167,1.2179,244.7491,287.7615
708.3947,0.2389,0.9524,0.4168,1.1306,244.6592,287.6863
708.4058,0.2387,0.9523,0.4169,1.0805,244.5442,287.6659
708.4168,0.2386,0.9525,0.417,1.0961,244.3776,287.6729
708.4281,0.2384,0.9525,0.4171,1.1192,244.1868,287.6474
708.4391,0.2381,0.9527,0.4173,1.1868,243.9341,287.5955
708.4504,0.2377,0.9529,0.4174,1.2526,243.5685,287.5468
708.4615,0.2372,0.9532,0.4176,1.3428,243.0102,287.507
708.4725,0.2366,0.9539,0.4177,1.3502,242.3952,287.6381
708.4837,0.2358,0.9547,0.4179,1.4286,241.7175,287.5947
708.4947,0.2349,0.9557,0.4183,1.4144,241.0122,287.3667
708.5059,0.2338,0.9569,0.419,1.7124,240.7984,287.7223
708.5171,0.2326,0.9577,0.4202,2.0756,240.5371,287.7471
708.5281,0.2314,0.9584,0.4219,2.1391,240.3538,287.4282
708.5392,0.2301,0.9595,0.4243,2.1723,240.6764,287.7237
708.5504,0.2292,0.9613,0.4286,2.1165,242.0562,288.6551
708.5622,0.2284,0.9632,0.4332,1.867,243.3513,289.2981
708.5724,0.2278,0.9652,0.4381,1.4846,244.5693,289.8924
708.5837,0.2273,0.9671,0.4431,1.1039,245.4677,290.3167
708.5949,0.2268,0.9688,0.4482,0.7034,245.8873,290.2934
