timestamp,log_type,message
962.6425,Log,Reach Time: 1.459961
967.5421,Log,Reach Time: 1.320007
970.209,Log,Reach Time: 1.940002
971.9091,Log,Reach Time: 0.9199829
973.5867,Log,Reach Time: 0.9199829
975.3423,Log,Reach Time: 0.8999634
977.109,Log,Reach Time: 0.9400024
978.9089,Log,Reach Time: 1.119995
980.9644,Log,Reach Time: 1.119995
982.8093,Log,Reach Time: 1
985.2869,Log,Reach Time: 1.119995
987.6873,Log,Reach Time: 1.640015
989.5204,Log,Reach Time: 1.159973
991.1204,Log,Reach Time: 0.960022
992.9424,Log,Reach Time: 1
994.8098,Log,Reach Time: 1.220032
996.4428,Log,Reach Time: 0.9800415
998.1646,Log,Reach Time: 0.9199829
999.787,Log,Reach Time: 0.8800049
1001.409,Log,Reach Time: 0.9199829
1003.22,Log,Reach Time: 1.080017
1005.02,Log,Reach Time: 0.8800049
1006.765,Log,Reach Time: 0.9599609
1008.421,Log,Reach Time: 1.02002
1010.01,Log,Reach Time: 0.8800049
1011.643,Log,Reach Time: 0.8800049
1013.387,Log,Reach Time: 1.140015
1015.087,Log,Reach Time: 0.8200073
1016.487,Log,Reach Time: 0.7000122
1017.987,Log,Reach Time: 0.8400269
1019.543,Log,Reach Time: 0.8800049
1021.31,Log,Reach Time: 1.160034
1023.043,Log,Reach Time: 1.039978
1024.443,Log,Reach Time: 0.7799683
1026.187,Log,Reach Time: 1.059937
1027.721,Log,Reach Time: 0.9000244
1029.187,Log,Reach Time: 0.8199463
1030.665,Log,Reach Time: 0.8200684
1032.965,Log,Reach Time: 1.579956
1034.465,Log,Reach Time: 0.8599854
1035.887,Log,Reach Time: 0.7199707
1037.543,Log,Reach Time: 1.079956
1039.043,Log,Reach Time: 0.7999268
1041.265,Log,Reach Time: 1.540039
1042.721,Log,Reach Time: 0.7800293
1044.165,Log,Reach Time: 0.6600342
1045.465,Log,Reach Time: 0.6999512
1046.843,Log,Reach Time: 0.7800293
1048.343,Log,Reach Time: 0.9000244
1049.866,Log,Reach Time: 0.8800049
1055.488,Log,Reach Time: 2.579956
1057.821,Log,Reach Time: 1.52002
1060.421,Log,Reach Time: 1.679932
1062.443,Log,Reach Time: 1.299927
1064.166,Log,Reach Time: 0.960083
1066.321,Log,Reach Time: 1.47998
1068.71,Log,Reach Time: 1.5
1070.743,Log,Reach Time: 0.8399658
1076.577,Log,Reach Time: 2.640015
1078.644,Log,Reach Time: 1.080078
1080.566,Log,Reach Time: 0.8599854
1082.744,Log,Reach Time: 0.8399658
1084.922,Log,Reach Time: 0.8800049
1087.444,Log,Reach Time: 0.9000244
1089.266,Log,Reach Time: 0.8200684
1091.666,Log,Reach Time: 1.220093
1093.61,Log,Reach Time: 1.26001
1095.543,Log,Reach Time: 0.6999512
1097.088,Log,Reach Time: 0.8399658
1098.588,Log,Reach Time: 0.8599854
1100.343,Log,Reach Time: 0.7199707
1101.71,Log,Reach Time: 0.8199463
1103.688,Log,Reach Time: 0.7199707
1105.622,Log,Reach Time: 0.8399658
1107.722,Log,Reach Time: 0.9399414
1109.543,Log,Reach Time: 0.7598877
1111.61,Log,Reach Time: 1.040039
1113.61,Log,Reach Time: 1.23999
1115.311,Log,Reach Time: 0.7399902
1117.066,Log,Reach Time: 0.7600098
1118.589,Log,Reach Time: 0.8199463
1120.089,Log,Reach Time: 0.8399658
1121.711,Log,Reach Time: 0.9199219
1128.1,Log,Reach Time: 2.919922
1130.011,Log,Reach Time: 0.9000244
1131.711,Log,Reach Time: 0.9599609
1133.266,Log,Reach Time: 0.8000488
1134.889,Log,Reach Time: 0.9000244
1136.144,Log,Reach Time: 0.5600586
1142.002,Log,Home Position Transformed: (0.2332333 0.9461449 0.4218279)
1142.811,Log,Reach Time: 0.7600098
1144.011,Log,Reach Time: 0.5
1145.123,Log,Reach Time: 0.4400635
1147.011,Log,Reach Time: 0.3800049
1148.2,Log,Reach Time: 0.4599609
1149.367,Log,Reach Time: 0.4200439
1150.489,Log,Reach Time: 0.4799805
1151.689,Log,Reach Time: 0.4399414
1153.045,Log,Reach Time: 0.539917
1154.467,Log,Reach Time: 0.5400391
1155.767,Log,Reach Time: 0.5400391
1156.689,Log,setting to flat. current r_x: 1.001791E-05
1158.122,Log,Reach Time: 1.440063
1159.645,Log,Reach Time: 0.8000488
1160.967,Log,Reach Time: 0.7399902
1162.422,Log,Reach Time: 0.8199463
1165.189,Log,Reach Time: 2.119995
1167.967,Log,Reach Time: 2.02002
1170.444,Log,Reach Time: 1.799927
1171.945,Log,Reach Time: 0.7600098
1173.989,Log,Reach Time: 1.400024
1175.289,Log,Reach Time: 0.6199951
1177.323,Log,Reach Time: 1.179932
1179.167,Log,Reach Time: 1.140015
1181.023,Log,Reach Time: 1.160034
1182.39,Log,Reach Time: 0.6600342
1183.045,Log,setting to flat. current r_x: 0
1183.467,Log,Reach Time: 0.4200439
1184.567,Log,Reach Time: 0.3800049
1185.589,Log,Reach Time: 0.4599609
1186.723,Log,Reach Time: 0.4000244
1187.867,Log,Reach Time: 0.4000244
1189.145,Log,Reach Time: 0.4000244
1190.345,Log,Reach Time: 0.4000244
1191.489,Log,Reach Time: 0.4200439
1192.689,Log,Reach Time: 0.4199219
1193.789,Log,Reach Time: 0.3800049
1195.123,Log,Reach Time: 0.4400635
1196.467,Log,Reach Time: 0.4000244
1197.345,Log,setting to flat. current r_x: 0
1198.745,Log,Reach Time: 1.400024
1201.367,Log,Reach Time: 1.839966
1205.723,Log,Reach Time: 1.939941
1207.123,Log,Reach Time: 0.7399902
1208.567,Log,Reach Time: 0.8599854
1209.823,Log,Reach Time: 0.6999512
1211.445,Log,Reach Time: 0.9799805
1212.99,Log,Reach Time: 0.8800049
1214.245,Log,Reach Time: 0.6800537
1215.59,Log,Reach Time: 0.6400146
1216.868,Log,Reach Time: 0.7399902
1218.19,Log,Reach Time: 0.7199707
1219.623,Log,Reach Time: 0.7800293
1221.445,Log,Reach Time: 1.199951
1222.868,Log,Reach Time: 0.6600342
1223.845,Log,Reach Time: 0.3800049
1224.845,Log,Reach Time: 0.4000244
1226.245,Log,Reach Time: 0.3599854
1227.245,Log,Reach Time: 0.3599854
1228.923,Log,Reach Time: 0.3999023
1230.101,Log,Reach Time: 0.3800049
1231.723,Log,Reach Time: 0.3399658
1235.09,Log,Reach Time: 0.5
1236.323,Log,Reach Time: 0.4799805
1237.468,Log,Reach Time: 0.4399414
1239.215,Log,Home Position Transformed: (0.2341635 0.9540735 0.4185048)
1239.69,Log,Reach Time: 0.4599609
1240.401,Log,setting to flat. current r_x: 0
1242.201,Log,Reach Time: 1.799927
1243.69,Log,Reach Time: 0.7999268
1245.145,Log,Reach Time: 0.8200684
1246.468,Log,Reach Time: 0.8000488
1248.245,Log,Reach Time: 1.280029
1249.601,Log,Reach Time: 0.7399902
1251.723,Log,Reach Time: 1.47998
1254.446,Log,Reach Time: 2
1258.69,Log,Reach Time: 3.179932
1260.623,Log,Reach Time: 1.26001
1261.901,Log,Reach Time: 0.6600342
1263.602,Log,Reach Time: 1.060059
1265.468,Log,Reach Time: 1.23999
1266.802,Log,Reach Time: 0.6199951
1267.946,Log,Reach Time: 0.4199219
1269.124,Log,Reach Time: 0.3800049
1270.19,Log,Reach Time: 0.3199463
1271.101,Log,Reach Time: 0.3399658
1272.168,Log,Reach Time: 0.1599121
1273.29,Log,Reach Time: 0.1000977
1274.39,Log,Reach Time: 0.3400879
1275.446,Log,Reach Time: 0.4000244
1276.646,Log,Reach Time: 0.3599854
1277.801,Log,Reach Time: 0.3999023
1278.901,Log,Reach Time: 0.3601074
1280.801,Log,Reach Time: 0.3800049
