directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,targetAngle,type,cursor_rotation,target_vertPos,plane_setting,exp_version,home_x,home_y,home_z,trackerholderobject_movement_filename
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,1,1,1,534.215,557.9626,90,instruction,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T001.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,2,2,1,557.9626,559.4705,95,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T002.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,3,2,2,560.382,561.3484,85,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T003.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,4,2,3,562.1705,563.3041,85,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T004.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,5,2,4,564.1819,564.9818,95,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T005.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,6,2,5,565.6817,566.4819,95,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T006.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,7,2,6,567.1376,568.0487,85,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T007.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,8,2,7,568.6261,569.504,85,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T008.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,9,2,8,570.0709,571.0709,95,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T009.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,10,2,9,571.6486,572.6044,85,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T010.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,11,2,10,573.2709,574.1486,95,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T011.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,12,2,11,574.8041,575.7711,95,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T012.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,13,2,12,576.7601,577.5264,85,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T013.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,14,2,13,578.0265,579.1711,95,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T014.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,15,2,14,579.7489,581.2046,85,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T015.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,16,2,15,581.9045,582.7708,95,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T016.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,17,2,16,583.449,584.4712,85,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T017.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,18,2,17,585.0267,586.6487,95,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T018.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,19,2,18,587.2042,588.3823,85,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T019.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,20,2,19,588.9045,589.8601,85,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T020.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,21,2,20,590.4266,591.4045,95,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T021.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,22,2,21,591.9601,593.1045,95,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T022.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,23,2,22,593.6821,594.949,85,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T023.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,24,2,23,595.483,596.5602,85,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T024.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,25,2,24,597.1044,598.2823,95,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T025.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,26,2,25,598.7822,599.849,85,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T026.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,27,2,26,600.3823,601.327,95,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T027.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,28,2,27,601.9267,602.849,95,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T028.csv
reachWithPlane_A/001/S001,reachWithPlane_A,001,1,29,2,28,603.4047,604.3826,85,aligned,0,0,none,A,0.2450328,0.950036,0.4208063,trackerholderobject_movement_T029.csv
