time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
966.2311,0.2442,0.9471,0.4262,346.3972,240.3296,289.6581
966.2438,0.2441,0.9466,0.4245,346.9943,239.5951,290.506
966.2533,0.2437,0.9458,0.4225,348.0967,239.0686,291.5897
966.2642,0.2441,0.946,0.4212,348.0066,239.0252,293.2149
966.2753,0.2433,0.9445,0.4239,347.0009,239.3117,290.7845
966.2864,0.2438,0.9432,0.425,346.3264,240.8685,289.2083
966.2975,0.2438,0.9424,0.4251,346.1283,240.6492,289.6751
966.3087,0.2439,0.9416,0.4248,346.0919,240.3232,289.3114
966.3198,0.2445,0.9421,0.4248,345.3188,240.4612,290.152
966.3313,0.2448,0.9424,0.4247,345.1988,240.2508,290.0574
966.3422,0.2449,0.9424,0.4247,345.6023,240.4951,290.0905
966.3532,0.2452,0.9426,0.4247,345.5196,240.6556,290.079
966.3642,0.2453,0.9427,0.4245,345.5989,240.583,290.1727
966.3754,0.2455,0.9431,0.4244,345.7199,240.6009,290.3007
966.3866,0.2456,0.9434,0.4242,345.8745,240.6355,290.3938
966.3977,0.2456,0.9438,0.424,346.2143,240.798,290.4414
966.4086,0.2456,0.9441,0.4237,346.6044,240.9275,290.4636
966.4199,0.2455,0.9443,0.4235,346.9975,241.0469,290.5188
966.431,0.2455,0.9447,0.4233,347.2746,241.1193,290.6035
966.442,0.2456,0.9451,0.4231,347.4317,241.2312,290.7768
966.4531,0.2456,0.9456,0.4228,347.7018,241.3006,290.9616
966.4642,0.2456,0.9462,0.4226,347.853,241.2744,291.2435
966.4754,0.2457,0.9466,0.4223,347.8852,241.317,291.4196
966.4867,0.2456,0.9469,0.4222,348.0281,241.3646,291.5972
966.4976,0.2455,0.9468,0.4223,348.2134,241.4356,291.5027
966.5087,0.2455,0.9466,0.4222,348.2718,241.5361,291.3905
966.5198,0.2453,0.9462,0.4223,348.2145,241.5787,291.1408
966.5309,0.245,0.9456,0.4223,348.1423,241.5447,290.8729
