time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
614.3499,0.2483,0.9336,0.4272,2.8959,250.9289,280.7304
614.3699,0.2487,0.9334,0.4273,2.8144,251.1114,280.654
614.3745,0.249,0.9333,0.4274,2.7507,251.3209,280.6121
614.3834,0.2494,0.9331,0.4275,2.6629,251.4604,280.5325
614.395,0.2502,0.9327,0.4277,2.4565,251.7323,280.4109
614.4061,0.2505,0.9326,0.4277,2.3306,251.8493,280.3577
614.4171,0.2505,0.9327,0.4277,2.3128,251.8662,280.4316
614.4279,0.2507,0.9326,0.4276,2.1755,251.8812,280.5036
614.4393,0.2509,0.9325,0.4277,2.0659,251.8871,280.557
614.4547,0.2513,0.9324,0.4278,1.7513,252.0672,280.5961
614.461,0.2516,0.9323,0.4278,1.5703,252.0716,280.6172
614.472,0.2519,0.9322,0.4279,1.318,252.0803,280.6193
614.4829,0.2521,0.9321,0.4279,1.1278,252.1154,280.6315
614.494,0.2522,0.932,0.4279,0.9298,252.0939,280.6403
614.5051,0.2524,0.9318,0.428,0.7608,252.0805,280.6436
614.5161,0.2526,0.9318,0.4281,0.6143,252.1508,280.6021
614.5274,0.2528,0.9318,0.4282,0.5444,252.1955,280.5762
614.5383,0.2528,0.9318,0.4282,0.5577,252.2502,280.556
614.5494,0.2528,0.9319,0.4281,0.6586,252.2583,280.6136
614.5602,0.2527,0.9319,0.4281,0.6962,252.2309,280.6194
614.5714,0.2527,0.9319,0.4281,0.7259,252.2125,280.6305
614.5826,0.2525,0.932,0.428,0.7896,252.1357,280.6768
614.5939,0.2523,0.9322,0.4279,0.8817,252.0041,280.7527
614.6096,0.2522,0.9324,0.4279,1.0194,251.9178,280.8275
614.6158,0.2522,0.9324,0.4278,1.1786,251.8905,280.8608
614.6271,0.2521,0.9326,0.4278,1.2675,251.8976,280.8928
614.6382,0.252,0.9327,0.4278,1.3816,251.8071,280.9348
614.6495,0.2517,0.9329,0.4277,1.4235,251.7267,281.0084
614.6605,0.2514,0.9331,0.4275,1.4661,251.6355,281.1192
614.6715,0.2512,0.9332,0.4275,1.4917,251.6079,281.1613
614.6827,0.2512,0.9332,0.4275,1.4605,251.648,281.118
614.6937,0.2512,0.9332,0.4276,1.4678,251.6769,281.0896
614.7048,0.2511,0.9333,0.4276,1.4983,251.6784,281.1149
614.7158,0.2511,0.9337,0.4278,1.5454,251.6219,281.2099
614.7271,0.2513,0.9342,0.4282,1.5452,251.5931,281.3648
614.738,0.2516,0.9347,0.4287,1.4761,251.5963,281.3342
614.7496,0.2518,0.9353,0.4295,1.4422,251.4945,281.2278
614.7644,0.2521,0.9359,0.4304,1.3872,251.5018,281.1696
614.7715,0.2525,0.9364,0.4318,1.2004,251.7692,280.9562
614.7825,0.2528,0.9367,0.4333,1.1061,252.0179,280.5888
614.7936,0.2531,0.9369,0.435,1.0852,252.287,280.2257
614.8046,0.2535,0.9377,0.4367,1.3006,252.8446,280.9056
614.816,0.2541,0.9388,0.4391,1.6027,253.6113,281.9787
614.827,0.2549,0.9398,0.4417,1.8561,254.3024,282.5832
614.8382,0.2557,0.9408,0.4446,2.0332,254.6903,282.8234
614.8495,0.2565,0.9416,0.4478,2.0077,254.895,282.7468
614.8604,0.2574,0.9425,0.451,1.8934,255.0825,282.5477
614.8716,0.2584,0.9435,0.4546,1.7017,255.2538,282.2045
614.8828,0.2594,0.9444,0.4583,1.5492,255.4903,281.9769
614.8937,0.2605,0.9454,0.4622,1.4869,255.7699,281.8814
614.905,0.2617,0.9464,0.4662,1.488,256.1215,281.8536
614.9207,0.2629,0.9475,0.4704,1.6217,256.5627,281.9261
614.9271,0.2641,0.9485,0.4747,1.8832,257.0259,282.0977
614.9384,0.2653,0.9495,0.479,2.4149,257.4203,282.4252
614.9495,0.2665,0.9504,0.4834,2.9533,257.8268,282.7682
614.9604,0.2679,0.9513,0.4879,3.369,258.3282,283.037
614.9718,0.2694,0.9522,0.4924,3.6383,258.8148,283.249
614.9828,0.2709,0.9529,0.4969,3.7729,259.3231,283.3518
614.9938,0.2727,0.9535,0.5016,3.6938,259.8757,283.1653
615.0048,0.2744,0.954,0.5062,3.5735,260.4153,282.8939
615.0162,0.2761,0.9542,0.5104,3.4401,260.8854,282.6305
