time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
547.6046,0.2563,0.9346,0.4295,5.3144,250.4649,281.2299
547.6176,0.2564,0.9343,0.4298,4.1056,250.8285,279.8956
547.6268,0.2562,0.9345,0.4291,3.609,250.8835,280.3493
547.6376,0.2561,0.9346,0.43,3.8606,251.5571,280.5155
547.6488,0.2561,0.9348,0.43,3.3713,251.8138,280.5837
547.6598,0.2553,0.935,0.4297,3.6485,251.3796,280.7752
547.671,0.2546,0.9354,0.4293,3.6138,250.9543,280.7538
547.6822,0.2536,0.9358,0.4291,3.6145,250.6169,280.9098
547.6937,0.2528,0.9364,0.429,3.5568,250.5116,281.286
547.7093,0.2517,0.9369,0.4287,3.5527,250.2741,281.4769
547.7156,0.2505,0.9372,0.4283,3.6795,249.897,281.5756
547.7266,0.2493,0.9375,0.4278,3.7199,249.4526,281.5912
547.7377,0.2479,0.9374,0.4271,3.8778,249.0076,281.689
547.7489,0.2467,0.9375,0.4266,4.0628,248.5975,281.7232
547.7599,0.2455,0.9374,0.4263,4.2371,248.1165,281.6898
547.771,0.2445,0.9372,0.4261,4.4098,247.7536,281.582
547.7823,0.2436,0.937,0.4259,4.5825,247.3357,281.5414
547.7933,0.2428,0.9369,0.4259,4.6991,246.8916,281.4513
547.8044,0.2422,0.9368,0.4258,4.6878,246.5624,281.3523
547.8156,0.2417,0.9367,0.4259,4.6428,246.2796,281.2755
547.8267,0.2414,0.9366,0.426,4.5889,246.0847,281.2136
547.8378,0.2412,0.9364,0.4263,4.7024,246.0346,281.0199
547.8492,0.241,0.9359,0.4268,4.9817,246.0507,280.6559
547.8649,0.2408,0.9353,0.4274,5.3611,246.078,280.1515
547.8712,0.2405,0.9349,0.428,5.5896,246.0598,279.7797
547.8822,0.2403,0.9348,0.429,5.4527,246.0152,279.578
547.8934,0.24,0.9347,0.4303,5.2669,246.0432,279.1317
547.9045,0.2396,0.9345,0.4318,4.888,246.0246,278.6513
547.9156,0.2391,0.9344,0.4336,4.5898,246.2235,278.6104
547.9268,0.2386,0.9345,0.4358,4.521,246.6363,278.9909
547.9379,0.2383,0.9347,0.4389,4.473,247.5396,279.5096
547.949,0.2379,0.9348,0.4421,4.4736,248.4182,279.8741
547.9602,0.2373,0.9349,0.4453,4.6112,249.0605,280.2731
547.9711,0.2365,0.935,0.4483,4.8763,249.3932,280.6268
547.9825,0.2354,0.935,0.4511,5.1826,249.3849,280.7298
547.9935,0.234,0.935,0.4539,5.333,249.2918,280.664
548.0051,0.2325,0.9351,0.4568,5.3324,249.2179,280.5697
548.0211,0.2308,0.9352,0.4596,5.1362,249.0946,280.3882
548.0267,0.229,0.9352,0.4624,4.9111,248.9395,280.1277
548.0378,0.2269,0.9351,0.4651,4.7152,248.7799,279.7646
548.049,0.2249,0.9351,0.4679,4.6353,248.7071,279.5228
548.0602,0.2227,0.9352,0.4706,4.7111,248.6972,279.5174
548.0712,0.2205,0.9353,0.4731,4.9224,248.6623,279.6399
548.0823,0.2181,0.9355,0.4755,5.2848,248.6015,279.8924
548.0934,0.2156,0.9357,0.4779,5.6692,248.5169,280.1906
548.1047,0.2132,0.9358,0.4802,6.0175,248.4062,280.3737
548.1159,0.2107,0.9358,0.4824,6.3192,248.2769,280.3085
548.1267,0.2083,0.9358,0.4847,6.5317,248.1739,280.1166
548.1379,0.206,0.9359,0.4869,6.6615,248.1083,279.9843
548.149,0.2037,0.9361,0.4891,6.7937,248.0732,279.9727
548.1605,0.2014,0.9363,0.4912,6.9074,248.0811,279.9762
548.1752,0.1992,0.9366,0.4932,7.0318,248.0784,279.9656
548.1823,0.197,0.9369,0.495,7.1413,248.0362,280.0131
548.1935,0.1949,0.9373,0.4967,7.2627,247.9533,280.0704
548.2046,0.1928,0.9376,0.4983,7.4041,247.8827,280.054
548.2156,0.1908,0.9378,0.4999,7.54,247.7964,279.9916
548.2269,0.1888,0.938,0.5014,7.6728,247.7158,279.9454
548.2379,0.187,0.9382,0.5028,7.8259,247.6198,279.89
548.2497,0.1852,0.9384,0.5042,8.0165,247.5847,279.8468
548.26,0.1836,0.9387,0.5056,8.1642,247.6451,279.903
548.2712,0.182,0.9391,0.5069,8.2591,247.7077,280.0511
548.2823,0.1805,0.9394,0.508,8.3578,247.6884,280.1542
548.2936,0.179,0.9397,0.509,8.4694,247.5937,280.1516
548.3045,0.1776,0.9397,0.51,8.5781,247.5242,280.0157
548.3159,0.1764,0.9397,0.511,8.7296,247.4634,279.847
