time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
833.6075,0.2443,0.9364,0.4255,4.8763,249.4383,280.3225
833.6205,0.2449,0.9366,0.4258,4.7843,249.6837,280.4679
833.634,0.2455,0.9367,0.4258,4.4884,250.0244,280.4579
833.6405,0.246,0.9369,0.4257,4.1098,250.268,280.6127
833.6516,0.246,0.9369,0.4255,4.0096,250.3398,280.8852
833.6627,0.2461,0.9366,0.4255,3.958,250.4563,280.8212
833.6738,0.2462,0.9362,0.4256,3.82,250.617,280.4519
833.6849,0.2464,0.9363,0.4258,3.7312,250.6283,280.6329
833.696,0.2466,0.9362,0.4257,3.6867,250.7217,280.708
833.7072,0.2468,0.9363,0.4258,3.5375,250.694,280.775
833.7184,0.2469,0.9363,0.426,3.4866,250.775,280.7318
833.7296,0.247,0.9363,0.426,3.5273,250.8188,280.7499
833.7406,0.247,0.9363,0.426,3.5557,250.7898,280.7404
833.7518,0.2469,0.9363,0.426,3.5812,250.8115,280.7546
833.7629,0.2468,0.9363,0.426,3.6339,250.7938,280.7513
833.7744,0.2466,0.9363,0.4259,3.6651,250.7864,280.7122
833.7895,0.2463,0.9364,0.4258,3.7726,250.7062,280.757
833.7964,0.2461,0.9364,0.4257,3.8406,250.6082,280.8147
833.8074,0.246,0.9367,0.4256,3.7976,250.4931,280.8614
833.8187,0.2458,0.9368,0.4256,3.8087,250.4369,280.9216
833.8296,0.2456,0.9367,0.4256,3.8283,250.3435,280.9434
833.8408,0.2454,0.9367,0.4257,3.8783,250.1899,280.8902
833.8519,0.2452,0.9367,0.4258,3.8857,250.0552,280.8525
833.8629,0.245,0.9367,0.4258,3.9071,249.9541,280.8123
833.8742,0.2446,0.9367,0.4258,3.9756,249.7616,280.7989
833.8853,0.2441,0.9368,0.4257,4.109,249.4807,280.8109
833.8964,0.2435,0.937,0.4256,4.2118,249.2153,280.852
833.9077,0.2429,0.9373,0.4256,4.3101,248.9115,280.9515
833.9186,0.2424,0.9378,0.4255,4.4404,248.5919,281.0988
833.9299,0.2417,0.9383,0.4254,4.6121,248.2593,281.3134
833.9449,0.241,0.9389,0.4253,4.8002,247.8895,281.4919
833.9518,0.2401,0.9395,0.4254,5.0636,247.5217,281.5022
833.9631,0.2392,0.9399,0.4255,5.4479,247.2083,281.4183
833.9744,0.2382,0.9402,0.4255,6.009,246.9088,281.3601
833.9855,0.237,0.9405,0.4254,6.6199,246.4557,281.377
833.9967,0.2358,0.9409,0.4252,7.1324,246.0008,281.3819
834.0075,0.2344,0.9414,0.4247,7.6592,245.4771,281.5294
834.0187,0.2329,0.9417,0.4243,8.1966,244.8717,281.6276
834.0299,0.2314,0.942,0.4238,8.6393,244.1939,281.5939
834.0409,0.2298,0.9423,0.4235,9.0827,243.5924,281.5267
834.052,0.2283,0.9425,0.4235,9.5026,243.0641,281.4571
834.0632,0.2267,0.9426,0.4235,10.0959,242.6572,281.3378
834.0742,0.2252,0.9427,0.4237,10.7693,242.321,281.2513
834.0856,0.2237,0.9427,0.4241,11.3099,242.0296,281.0469
834.1012,0.2222,0.9429,0.4245,11.7621,241.8976,281.0671
834.1076,0.2206,0.9435,0.4252,12.2239,241.9235,281.67
834.1187,0.2191,0.9441,0.4262,12.6657,242.0815,282.1884
834.1298,0.2176,0.9449,0.4276,12.7774,242.2498,282.3065
834.1409,0.2159,0.9456,0.4283,13.5812,241.9288,283.6065
834.152,0.2143,0.9461,0.4302,13.7979,242.4831,283.1972
834.1631,0.2126,0.9467,0.4319,13.5783,242.194,282.4787
834.1744,0.2107,0.9474,0.4334,13.4934,242.0176,281.9527
834.1854,0.2086,0.9484,0.4348,13.3354,241.8731,281.8546
834.1967,0.2063,0.9494,0.4359,13.4696,241.6579,281.9012
834.2076,0.2037,0.9505,0.4369,13.7432,241.4814,282.0397
834.219,0.2009,0.9516,0.4377,14.0698,241.3146,282.2074
834.2299,0.1978,0.9527,0.4382,14.5626,241.0555,282.5089
834.2414,0.1945,0.9538,0.4384,15.0653,240.74,282.816
834.2565,0.1909,0.9548,0.4383,15.5957,240.3199,283.1013
834.2632,0.1871,0.9558,0.4381,16.0939,239.8245,283.2767
834.2744,0.1832,0.9565,0.4377,16.57,239.2379,283.289
834.2855,0.1792,0.957,0.4371,17.0358,238.5901,283.2368
834.2965,0.1752,0.9576,0.4363,17.4908,237.8745,283.1727
834.3076,0.171,0.958,0.4352,17.884,237.114,283.0193
834.3187,0.1668,0.9584,0.4342,18.2193,236.3581,282.8021
