time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
551.849,0.2471,0.9377,0.4262,5.0456,250.4265,281.7647
551.8616,0.2478,0.9369,0.4266,4.8474,250.5786,281.5374
551.871,0.2484,0.9361,0.4269,4.6281,250.7431,281.2465
551.8821,0.2488,0.9354,0.4272,4.3587,250.883,280.9396
551.8935,0.2492,0.9349,0.4274,4.1186,251.058,280.6869
551.9088,0.2494,0.9345,0.4274,3.8783,251.0942,280.5927
551.9153,0.2494,0.9342,0.4273,3.7812,251.0742,280.5301
551.9265,0.2495,0.9339,0.4272,3.621,251.0513,280.4848
551.9377,0.2494,0.9338,0.4272,3.4343,251.0179,280.433
551.9486,0.2492,0.9336,0.4272,3.3717,250.9692,280.3692
551.9599,0.249,0.9334,0.4272,3.365,250.8166,280.2995
551.9709,0.2489,0.9333,0.4273,3.3635,250.7929,280.2563
551.9821,0.2488,0.9334,0.4273,3.4148,250.763,280.3104
551.9933,0.2486,0.9336,0.4273,3.3399,250.543,280.38
552.0043,0.2484,0.9338,0.4273,3.394,250.5656,280.4724
552.0157,0.2483,0.9342,0.4274,3.3809,250.5228,280.6304
552.0266,0.2481,0.9347,0.4274,3.3644,250.4254,280.8776
552.0378,0.2479,0.9352,0.4274,3.4058,250.3569,281.1249
552.049,0.2476,0.9358,0.4274,3.4201,250.2296,281.3419
552.0644,0.2472,0.9363,0.4275,3.5058,250.0361,281.5288
552.071,0.2467,0.9368,0.4276,3.6709,249.8099,281.6584
552.0822,0.2461,0.9372,0.4277,3.929,249.4567,281.7654
552.0934,0.2452,0.9374,0.4281,4.1711,249.0539,281.4971
552.1044,0.2443,0.9377,0.4286,4.4728,248.8619,281.469
552.1155,0.2432,0.9377,0.4295,4.5691,248.5511,281.0073
552.1266,0.242,0.9378,0.4305,4.7351,248.403,280.7285
552.1377,0.2407,0.9379,0.4317,4.7722,248.425,280.6829
552.149,0.2394,0.9384,0.4332,4.8216,248.6257,281.0503
552.1602,0.2383,0.9391,0.4358,4.6672,249.4889,281.8707
552.1711,0.2372,0.9398,0.4387,4.4106,250.3282,282.338
552.1825,0.2359,0.9403,0.4421,4.2836,250.9082,282.5439
552.1934,0.2343,0.9406,0.445,4.381,250.948,282.58
552.2047,0.2326,0.9407,0.4478,4.5575,250.8584,282.522
552.2201,0.2307,0.9408,0.4506,4.7783,250.6755,282.3909
552.2266,0.2288,0.941,0.4534,4.9584,250.5528,282.4033
552.2377,0.2266,0.9413,0.4562,5.14,250.4227,282.4989
552.2491,0.2244,0.9415,0.4589,5.2907,250.2947,282.5347
552.26,0.2221,0.9418,0.4616,5.4338,250.1886,282.4616
552.2711,0.2198,0.9421,0.4644,5.5291,250.1016,282.3986
552.2823,0.2174,0.9424,0.4671,5.5637,250.0676,282.3874
552.2936,0.2149,0.9427,0.4697,5.6268,250.0261,282.3628
552.3046,0.2125,0.9429,0.4724,5.7754,249.9652,282.3022
552.3157,0.2101,0.9431,0.475,5.9878,249.8871,282.2473
552.3268,0.2077,0.9433,0.4776,6.2031,249.8839,282.2661
552.338,0.2054,0.9435,0.4802,6.4082,249.9305,282.4052
552.3489,0.2032,0.9437,0.4827,6.5799,249.9509,282.4912
552.3604,0.201,0.9439,0.4851,6.7141,249.9415,282.438
552.3758,0.1988,0.9439,0.4874,6.8028,249.9055,282.3173
552.3822,0.1968,0.944,0.4897,6.8054,249.9258,282.1415
552.3935,0.1949,0.9441,0.492,6.757,250.0216,281.9806
552.4048,0.193,0.9441,0.4941,6.7645,250.1102,281.8925
552.4155,0.1912,0.9441,0.4959,6.9038,250.0915,281.9098
552.4269,0.1893,0.9439,0.4976,7.111,250.0163,281.9165
552.438,0.1875,0.9436,0.4991,7.3893,249.8979,281.8376
552.449,0.1859,0.9432,0.5008,7.6212,249.8222,281.6745
552.4601,0.1846,0.9429,0.5025,7.7973,249.8611,281.5884
552.4711,0.1833,0.9425,0.5042,7.928,249.945,281.5949
552.4822,0.1823,0.9422,0.5058,8.0438,250.0465,281.6125
552.4935,0.1813,0.9418,0.5073,8.1633,250.1101,281.5462
552.5045,0.1804,0.9414,0.5087,8.2744,250.1512,281.498
552.516,0.1798,0.941,0.51,8.338,250.2128,281.4551
552.5313,0.1791,0.9406,0.5112,8.3488,250.2727,281.329
552.5379,0.1787,0.9402,0.5122,8.3369,250.281,281.1402
