time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
419.5298,0.2497,0.9337,0.4279,6.0306,251.937,279.7199
419.5385,0.25,0.9339,0.4279,5.7718,251.9022,279.8446
419.5474,0.2502,0.9341,0.4279,5.6584,251.9602,280.0292
419.5583,0.2503,0.9343,0.428,5.556,252.1494,280.1391
419.5693,0.2503,0.9344,0.428,5.5939,252.2571,280.162
419.5805,0.2503,0.9345,0.4279,5.5351,252.2291,280.1769
419.5918,0.2504,0.9347,0.4278,5.5609,252.3213,280.3232
419.6029,0.2505,0.9349,0.4278,5.5698,252.4376,280.4495
419.6139,0.2507,0.9352,0.4278,5.6455,252.5455,280.5326
419.6252,0.2509,0.9356,0.4278,5.6771,252.6611,280.6954
419.6363,0.2511,0.936,0.4277,5.7476,252.8216,280.9565
419.6474,0.2514,0.9364,0.4278,5.8002,252.9876,281.1777
419.6586,0.2516,0.9366,0.4278,5.8295,253.106,281.2595
419.67,0.2517,0.9367,0.4278,5.8401,253.1738,281.3052
419.6856,0.2518,0.9368,0.4278,5.8378,253.2332,281.3679
419.6917,0.2517,0.9368,0.4278,5.8648,253.2118,281.3978
419.7032,0.2516,0.9367,0.4278,5.8272,253.1774,281.3482
419.7139,0.2515,0.9366,0.4277,5.8137,253.1457,281.321
419.7251,0.2514,0.9366,0.4277,5.7945,253.1113,281.325
419.7365,0.2512,0.9365,0.4278,5.7821,252.9819,281.2585
419.7474,0.251,0.9363,0.4278,5.748,252.8707,281.1819
419.7583,0.2509,0.9363,0.4279,5.7002,252.806,281.182
419.7696,0.2508,0.9363,0.4281,5.7446,252.7487,281.2091
419.7809,0.2506,0.9364,0.4284,5.8231,252.6526,281.2335
419.7917,0.2503,0.9364,0.4286,5.9324,252.4431,281.2302
419.8028,0.2497,0.9365,0.4286,6.0565,252.1622,281.2355
419.814,0.249,0.9367,0.4286,6.1296,251.7908,281.3085
419.8254,0.248,0.937,0.4284,6.0961,251.1988,281.3849
419.8409,0.2467,0.9374,0.4283,6.3637,250.6029,281.573
419.8475,0.2454,0.9376,0.4282,6.5795,249.9565,281.5525
419.8586,0.2439,0.9377,0.4282,6.9465,249.27,281.406
419.8696,0.2423,0.9378,0.4286,7.4081,248.7033,281.1079
419.8808,0.2407,0.9379,0.4292,7.7526,248.117,280.8875
419.8918,0.239,0.9379,0.4301,8.1227,247.8283,280.6781
419.903,0.2372,0.9381,0.4314,8.1854,247.7135,280.6513
419.9142,0.2355,0.9388,0.4334,8.12,247.9128,280.8369
419.9253,0.2339,0.9398,0.436,7.8667,248.6877,281.3958
419.9366,0.2323,0.9409,0.4392,7.7026,249.5985,282.1612
419.9474,0.2304,0.9415,0.4421,7.8426,249.9227,282.3989
419.9588,0.2282,0.9418,0.4448,8.119,249.9018,282.3869
419.9696,0.2257,0.9419,0.4471,8.5717,249.4663,282.2362
419.981,0.223,0.942,0.4493,9.0196,248.9851,282.1441
419.9966,0.2202,0.9423,0.4516,9.3301,248.4842,282.1126
420.003,0.2173,0.9426,0.454,9.5127,248.0815,281.9987
420.0142,0.2142,0.9429,0.4566,9.6464,247.6977,281.7489
420.0251,0.2112,0.9433,0.4591,9.7784,247.4322,281.6547
420.0364,0.2081,0.9438,0.4618,9.8896,247.3097,281.7538
420.0474,0.2049,0.9442,0.4643,10.1345,247.1711,281.8479
420.0586,0.2018,0.9445,0.4669,10.4754,246.9861,281.8875
420.0697,0.1988,0.9446,0.4693,10.9464,246.7801,281.9175
420.0808,0.1957,0.9446,0.4717,11.4286,246.5176,281.9371
420.0919,0.1928,0.9446,0.474,11.9079,246.2401,281.9034
420.1031,0.1899,0.9446,0.4764,12.3106,246.0081,281.8455
420.1141,0.1871,0.9445,0.4788,12.5979,245.8536,281.7075
420.1251,0.1844,0.9443,0.4812,12.8787,245.7071,281.5011
420.1365,0.1819,0.9443,0.4836,13.1112,245.5941,281.3613
420.1519,0.1797,0.9442,0.486,13.277,245.6114,281.3157
420.1585,0.1775,0.9442,0.4882,13.4495,245.6414,281.2627
420.1698,0.1756,0.944,0.4903,13.6174,245.654,281.1455
420.1807,0.1738,0.9437,0.4921,13.8838,245.5881,281.0124
420.1917,0.1721,0.9433,0.4938,14.1845,245.4432,280.8772
420.2031,0.1705,0.9429,0.4953,14.4678,245.3157,280.7604
420.214,0.1692,0.9424,0.4967,14.7496,245.2071,280.6208
420.2256,0.1681,0.942,0.4979,14.969,245.1248,280.4606
420.2363,0.167,0.9418,0.4991,15.1424,245.0748,280.3569
420.2476,0.1662,0.9416,0.5002,15.2062,245.087,280.2845
420.2584,0.1654,0.9415,0.5011,15.2347,245.0923,280.2424
