time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
546.3267,0.251,0.9344,0.4279,2.9918,251.0924,281.5715
546.3398,0.2532,0.9348,0.4295,2.0042,252.3124,281.2252
546.3489,0.2545,0.9346,0.43,2.0115,252.9235,280.9075
546.3597,0.2551,0.9346,0.4294,2.5521,252.9054,280.9103
546.371,0.2557,0.9348,0.4296,2.4533,253.3342,280.953
546.3821,0.256,0.9353,0.4296,2.5369,253.9152,281.2972
546.3932,0.2563,0.9354,0.4293,2.559,253.908,281.4915
546.4045,0.2566,0.9357,0.4292,2.6427,253.9256,281.6079
546.4156,0.2566,0.9359,0.4291,2.6283,254.0275,281.9326
546.4267,0.2565,0.9361,0.429,2.5964,253.9768,282.0593
546.4378,0.256,0.9359,0.4285,2.654,253.7169,282.1222
546.4492,0.2556,0.9357,0.4283,2.5993,253.4924,282.059
546.4647,0.255,0.9355,0.4281,2.6338,253.1886,281.9893
546.4709,0.2545,0.9351,0.4279,2.7113,252.9238,282.036
546.4822,0.2538,0.9347,0.4279,2.6649,252.5707,281.9276
546.4934,0.2531,0.9344,0.428,2.6219,252.2787,281.7235
546.5044,0.2525,0.9342,0.428,2.6705,252.0226,281.6338
546.5156,0.2518,0.934,0.4281,2.7608,251.6331,281.5556
546.5265,0.2512,0.934,0.4283,2.7425,251.28,281.5258
546.5378,0.2504,0.9342,0.4284,2.869,250.9229,281.5389
546.5488,0.2494,0.9346,0.4285,2.9237,250.4818,281.5493
546.5599,0.2482,0.9352,0.4284,2.873,249.7928,281.6325
546.571,0.2467,0.9357,0.4283,3.2059,249.1508,281.8115
546.5821,0.2451,0.9361,0.4286,3.7321,248.791,281.5925
546.5937,0.2435,0.9364,0.4292,3.8972,248.3562,281.1443
546.6047,0.2418,0.9368,0.43,4.1813,248.0814,281.0793
546.6204,0.24,0.9373,0.4309,4.1961,248.0257,281.1411
546.6267,0.2382,0.9378,0.4324,4.0764,247.9108,281.0229
546.6379,0.2366,0.9386,0.4346,3.566,248.3587,280.9328
546.6489,0.2353,0.9399,0.4377,3.1851,249.8001,282.1159
546.66,0.2337,0.941,0.4407,3.2257,250.5707,283.0477
546.671,0.2317,0.9415,0.4435,3.6176,250.7367,283.4478
546.6823,0.2294,0.9417,0.4462,4.2033,250.4038,283.3559
546.6934,0.2269,0.9418,0.449,4.6119,250.0591,283.0998
546.7045,0.2243,0.9422,0.4518,4.8203,249.8462,283.0331
546.7156,0.2216,0.9427,0.4546,4.9616,249.6452,283.0824
546.7267,0.2188,0.9432,0.4572,5.0387,249.3831,283.1182
546.7378,0.2159,0.9437,0.4599,5.0643,249.1086,282.9854
546.7487,0.213,0.9442,0.4626,5.1323,248.8927,282.8198
546.7602,0.21,0.9447,0.4653,5.2411,248.7378,282.7114
546.7759,0.2071,0.9452,0.4679,5.4778,248.6247,282.7755
546.7822,0.2042,0.9457,0.4704,5.8538,248.5386,282.9129
546.7934,0.2013,0.9462,0.473,6.2997,248.4433,283.0675
546.8045,0.1985,0.9466,0.4755,6.6729,248.3473,283.1821
546.8156,0.1957,0.947,0.478,6.9648,248.2592,283.2186
546.8267,0.193,0.9473,0.4805,7.2056,248.1571,283.1607
546.8378,0.1904,0.9475,0.4831,7.4039,248.0874,283.0558
546.8491,0.1879,0.9477,0.4856,7.5297,248.0601,282.9765
546.86,0.1855,0.9478,0.488,7.6263,248.019,282.9373
546.8713,0.183,0.9478,0.4904,7.7429,247.949,282.8604
546.8823,0.1807,0.9475,0.4927,7.8264,247.8736,282.6897
546.8936,0.1785,0.9473,0.495,7.9056,247.7974,282.5216
546.9044,0.1763,0.9469,0.4971,7.9632,247.7314,282.3665
546.9157,0.1742,0.9466,0.4992,8.0084,247.6849,282.18
546.9314,0.1722,0.9461,0.501,8.0579,247.6381,281.9817
546.9377,0.1703,0.9457,0.5026,8.1342,247.5451,281.8076
546.9489,0.1685,0.9452,0.504,8.2981,247.5105,281.7172
546.9602,0.1669,0.9448,0.5053,8.5108,247.5407,281.6851
546.9711,0.1655,0.9445,0.5065,8.752,247.6473,281.7483
546.9822,0.1642,0.9443,0.5076,8.9319,247.7509,281.8381
546.9933,0.1632,0.9441,0.5084,9.0163,247.8013,281.8627
547.0048,0.1623,0.9438,0.509,9.0314,247.7901,281.7396
547.0156,0.1616,0.9436,0.5095,8.9906,247.7325,281.5228
547.0269,0.1612,0.9435,0.5097,8.883,247.668,281.3242
547.0382,0.161,0.9435,0.5097,8.7839,247.6819,281.2897
547.049,0.1611,0.9436,0.5096,8.6931,247.7407,281.3224
547.0601,0.1614,0.9437,0.5093,8.6469,247.7803,281.3787
547.0712,0.1617,0.9437,0.5089,8.6092,247.7575,281.3891
547.0867,0.1625,0.9437,0.5082,8.5506,247.7216,281.3333
547.0934,0.1634,0.9436,0.5075,8.4792,247.7993,281.2927
