timestamp,log_type,message
0,Log,Loaded: D:\shanaa\repos\reachWithPlaneV2\UFile-reachToTarget-planeV2\data\participant_list_vA.csv
0.02,Warning,"A Canvas named ""[UXF_UI]"" with a render mode of ScreenSpaceOverlay is being used while VR is also enabled. This Canvas will continue to incur a rendering cost but will not be visible while in VR. Is this intentional?"
6.628545,Log,Updating: D:\shanaa\repos\reachWithPlaneV2\UFile-reachToTarget-planeV2\data\participant_list_vA.csv
7.495408,Warning,Warning: Session already exists! Continuing will overwrite
9.189255,Log,Home Position Transformed: (0.2517425 0.933684 0.4287798)
11.32001,Log,running end and prepare
13.15055,Log,Reach Time: 1.82
14.75022,Log,Reach Time: 0.7600002
16.38379,Log,Reach Time: 0.9399996
17.73881,Log,Reach Time: 0.6399994
18.9834,Log,Reach Time: 0.6000004
20.16119,Log,Reach Time: 0.6399994
21.60574,Log,Reach Time: 0.8400002
22.82835,Log,Reach Time: 0.6000004
23.95,Log,Reach Time: 0.539999
25.65026,Log,Reach Time: 1.139999
26.82803,Log,Reach Time: 0.6000004
27.90582,Log,Reach Time: 0.5400009
29.35063,Log,Reach Time: 0.8200016
30.48382,Log,Reach Time: 0.5799999
31.56166,Log,Reach Time: 0.5799999
32.60595,Log,Reach Time: 0.5599976
33.86178,Log,Reach Time: 0.6599998
35.02813,Log,Reach Time: 0.7200012
36.08384,Log,Reach Time: 0.6399994
37.15051,Log,Reach Time: 0.5999985
38.28373,Log,Reach Time: 0.6800003
39.38382,Log,Reach Time: 0.6399994
40.45043,Log,Reach Time: 0.5999985
41.55045,Log,Reach Time: 0.6000023
42.70624,Log,Reach Time: 0.5800018
43.76167,Log,Reach Time: 0.579998
44.95068,Log,Reach Time: 0.5999985
46.7063,Log,Reach Time: 0.6600037
47.95063,Log,Reach Time: 0.6800003
48.92839,Log,Reach Time: 0.5400009
50.12846,Log,Reach Time: 0.6199989
51.12836,Log,Reach Time: 0.5800018
52.25065,Log,Reach Time: 0.5999985
53.30633,Log,Reach Time: 0.6199989
54.35076,Log,Reach Time: 0.5400009
55.46188,Log,Reach Time: 0.5600014
56.54011,Log,Reach Time: 0.5399971
57.96199,Log,Reach Time: 0.7400017
59.00652,Log,Reach Time: 0.5600014
60.00649,Log,Reach Time: 0.5
60.98426,Log,Reach Time: 0.4799995
62.56194,Log,Reach Time: 0.4399986
63.76184,Log,Reach Time: 0.4399986
65.03127,Log,Home Position Transformed: (0.2517988 0.9321312 0.4308666)
65.50645,Log,Reach Time: 0.5800018
66.78406,Log,Reach Time: 0.4599991
68.55082,Log,Reach Time: 0.6000061
69.70657,Log,Reach Time: 0.5400009
70.80635,Log,Reach Time: 0.5199966
72.33125,Log,Home Position Transformed: (0.2369895 0.9287271 0.428223)
72.90645,Log,Reach Time: 0.5600052
73.98413,Log,Reach Time: 0.4599991
75.10644,Log,Reach Time: 0.5400009
76.48422,Log,Reach Time: 0.4799957
