time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
464.9876,0.2597,0.9399,0.4304,349.4476,248.2759,285.3752
465.0005,0.2605,0.9402,0.4288,350.4201,248.5126,286.2374
465.0101,0.2613,0.9405,0.4274,350.461,248.791,286.7041
465.0208,0.2619,0.9402,0.4288,350.3891,250.1953,286.1306
465.032,0.2638,0.9401,0.43,349.9151,251.7855,285.215
465.043,0.2644,0.9401,0.4301,349.8093,251.4962,285.5303
465.0542,0.2646,0.9398,0.4299,349.895,251.2856,285.6097
465.0653,0.2647,0.9393,0.4301,349.916,251.1821,285.3832
465.0764,0.2646,0.939,0.4303,349.9446,251.2586,285.338
465.0877,0.2645,0.9388,0.4304,349.7303,251.2153,285.0922
465.0987,0.2641,0.939,0.4302,349.5244,250.8846,285.3479
465.1098,0.2636,0.9394,0.4301,349.5602,250.6503,285.5898
465.121,0.263,0.9398,0.4301,349.7093,250.246,285.7949
465.1325,0.2624,0.9406,0.4299,349.7201,249.6989,286.1741
465.1431,0.2617,0.9416,0.4298,349.866,249.1578,286.7152
465.1544,0.261,0.9427,0.4297,350.1045,248.6198,287.2381
465.1653,0.2603,0.9438,0.4296,350.3166,248.0637,287.7699
465.1764,0.2594,0.9449,0.4296,350.4992,247.5455,288.2477
465.1876,0.2584,0.9458,0.4296,350.7161,247.2197,288.5174
465.1986,0.2571,0.9461,0.4298,351.0839,246.9909,288.3884
465.2097,0.2558,0.9465,0.4299,351.3881,246.6545,288.4333
465.2209,0.2543,0.9465,0.4299,351.7256,246.2093,288.5313
465.2321,0.2528,0.9463,0.4299,351.9296,245.6795,288.331
465.2432,0.2512,0.9459,0.4303,351.6405,245.0889,287.6349
465.2542,0.2499,0.9457,0.4309,351.4313,244.8565,287.3582
465.2657,0.2488,0.9456,0.432,350.9749,244.8622,286.9816
465.2766,0.2479,0.9457,0.4338,350.2998,245.3127,286.4762
465.2878,0.2472,0.9458,0.4359,349.5142,245.8627,285.9495
465.2987,0.2466,0.946,0.4384,348.7497,246.4076,285.5007
465.31,0.2458,0.9464,0.4408,348.7985,247.5561,286.1852
465.3208,0.2447,0.9465,0.4433,349.8645,248.4438,287.1049
465.332,0.2433,0.9462,0.4456,350.9308,248.8331,287.6271
465.3431,0.2415,0.9457,0.4476,351.8804,248.7319,288.037
465.3542,0.2397,0.9452,0.4498,352.2878,248.6003,288.131
465.3653,0.2379,0.9446,0.4522,352.4183,248.5997,287.8839
465.3767,0.2362,0.944,0.4547,352.1465,248.7122,287.4612
465.3876,0.2344,0.9434,0.4572,351.8064,248.8477,287.1244
465.399,0.2325,0.9429,0.4596,351.4897,248.9681,286.8219
465.4099,0.2306,0.9423,0.4621,351.2891,249.1342,286.5641
465.4216,0.2285,0.9416,0.4647,351.2376,249.3097,286.3216
465.4322,0.2263,0.9409,0.4671,351.4036,249.4391,286.1505
465.4433,0.2239,0.9402,0.4693,351.8529,249.4553,286.1421
465.4543,0.2215,0.9396,0.4713,352.4358,249.4411,286.3689
465.4653,0.2192,0.9393,0.4733,352.902,249.4838,286.795
465.4765,0.2169,0.939,0.4752,353.2086,249.5699,287.2009
465.4876,0.2146,0.9387,0.4773,353.3441,249.645,287.2762
465.4986,0.2123,0.9384,0.4793,353.2228,249.673,287.0886
465.5099,0.2101,0.938,0.4814,353.0368,249.7047,286.8537
465.521,0.2078,0.9377,0.4836,352.8589,249.8022,286.5639
465.5323,0.2056,0.9374,0.4856,352.8022,249.9512,286.3795
465.5433,0.2034,0.9371,0.4875,352.7782,250.0657,286.3309
465.5544,0.2012,0.937,0.4893,352.8054,250.1458,286.4108
465.5655,0.1989,0.9369,0.491,352.9179,250.1872,286.492
465.5766,0.1967,0.9368,0.4924,353.0936,250.1587,286.6136
465.5877,0.1945,0.9367,0.4938,353.29,250.1087,286.7031
465.5989,0.1923,0.9366,0.4951,353.5275,250.0256,286.7788
465.6099,0.1902,0.9364,0.4965,353.7014,249.9396,286.8709
465.6209,0.1882,0.9361,0.498,353.8273,249.9183,286.7978
465.632,0.1863,0.9357,0.4996,353.9055,249.9807,286.5887
465.6432,0.1846,0.9354,0.5012,353.8979,250.1299,286.4475
465.6542,0.183,0.9351,0.5027,353.8191,250.2854,286.3997
465.6655,0.1815,0.9349,0.5041,353.6693,250.3386,286.2871
465.6765,0.18,0.9347,0.5052,353.6162,250.2776,286.1821
465.6876,0.1784,0.9344,0.5062,353.7627,250.2115,286.1992
465.6988,0.1769,0.9342,0.5069,354.1023,250.0426,286.3589
