time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
846.2033,0.2518,0.9332,0.4302,355.9106,251.8693,283.3666
846.216,0.253,0.9328,0.4307,356.3645,252.714,283.2453
846.2254,0.2536,0.9326,0.4306,356.4187,252.6195,283.1819
846.2365,0.2542,0.9327,0.4306,356.3128,252.6069,283.3608
846.248,0.2545,0.9327,0.4308,356.0691,252.9373,283.3769
846.2585,0.2548,0.9325,0.4309,355.8584,253.1025,283.2852
846.2699,0.2544,0.9321,0.4309,355.8401,252.9599,282.9915
846.2809,0.2541,0.9317,0.4308,355.7788,252.9232,282.934
846.292,0.2535,0.9312,0.4308,355.7376,252.5849,282.67
846.3032,0.2529,0.931,0.4309,355.6966,252.3297,282.5735
846.3143,0.2525,0.9315,0.4309,355.6098,251.9702,282.7815
846.3254,0.2519,0.9319,0.4307,355.637,251.4302,283.0889
846.3365,0.2512,0.9324,0.4306,355.7194,250.9815,283.2912
846.3475,0.2506,0.9328,0.4306,355.7294,250.6198,283.4791
846.3589,0.2499,0.9334,0.4306,355.7206,250.1952,283.7964
846.3699,0.249,0.934,0.4305,355.7553,249.7177,284.1634
846.381,0.2482,0.9348,0.4304,355.8132,249.2631,284.5044
846.3921,0.2473,0.9353,0.4303,355.8991,248.7998,284.7342
846.4034,0.2464,0.9358,0.4305,356.0666,248.5452,284.8349
846.4143,0.2454,0.936,0.4308,356.257,248.3997,284.8022
846.4254,0.2445,0.936,0.4311,356.3353,248.2248,284.7809
846.4365,0.2434,0.936,0.4315,356.3584,248.0367,284.6105
846.4476,0.2423,0.9355,0.4321,355.9708,247.7066,283.8865
846.4589,0.2413,0.9353,0.4326,355.7163,247.5579,283.6216
846.4699,0.2402,0.9347,0.4335,355.4739,247.5027,283.1554
846.4811,0.2392,0.9341,0.4348,355.1155,247.6248,282.4509
846.4922,0.2386,0.9338,0.4368,354.5206,248.2793,281.9011
846.5033,0.2382,0.934,0.4395,353.8885,249.3697,281.7093
846.5146,0.238,0.9343,0.4422,353.2066,250.4243,281.6515
846.5255,0.2376,0.9351,0.4448,354.0542,252.3376,283.8257
846.5367,0.2368,0.9349,0.4473,355.0068,253.1309,284.9565
846.5478,0.2355,0.9344,0.4496,356.3026,253.4475,285.6513
846.5591,0.234,0.9338,0.4519,357.2832,253.5316,286.1129
846.5701,0.2326,0.9332,0.4543,357.7707,253.6226,286.273
846.5811,0.2311,0.9327,0.4568,357.898,253.8676,286.2072
846.5923,0.2297,0.9325,0.4594,357.4662,254.1297,285.9221
846.6033,0.2282,0.9324,0.462,356.7999,254.3811,285.5618
846.6144,0.2266,0.9322,0.4646,356.2411,254.5674,285.2163
846.6254,0.2248,0.932,0.4671,355.8248,254.6711,284.8709
846.6369,0.2229,0.9317,0.4695,355.7157,254.6823,284.6652
846.6478,0.2207,0.9314,0.4719,356.0527,254.5935,284.7652
846.6589,0.2186,0.9311,0.4743,356.6246,254.5942,285.0991
846.6702,0.2166,0.9308,0.4767,357.434,254.7769,285.6693
846.6812,0.2146,0.9307,0.4792,358.063,255.1108,286.1747
846.6921,0.2127,0.9308,0.4818,358.3432,255.5081,286.5907
846.7036,0.2108,0.931,0.4844,358.0287,255.8781,286.6971
846.7145,0.2088,0.9311,0.4868,357.6381,256.0538,286.508
846.7254,0.2068,0.9311,0.4891,357.0983,256.0349,285.948
846.7366,0.2047,0.9311,0.4914,356.7183,255.9628,285.4939
846.7477,0.2026,0.9311,0.4935,356.5302,255.7719,285.1738
846.7587,0.2005,0.9312,0.4957,356.5948,255.6372,285.1508
846.77,0.1985,0.9313,0.4978,356.945,255.633,285.3524
846.781,0.1966,0.9314,0.5,357.228,255.7558,285.4913
846.7921,0.1949,0.9317,0.5023,357.392,256.0639,285.7465
846.8032,0.1933,0.932,0.5044,357.3733,256.2761,285.9333
846.8144,0.1917,0.9322,0.5065,357.4242,256.4191,285.9618
846.8255,0.1901,0.9322,0.5086,357.4908,256.4892,285.8763
846.8366,0.1884,0.9322,0.5107,357.6422,256.5132,285.8802
846.8479,0.1868,0.9321,0.5126,357.9076,256.4406,286.0164
846.8589,0.1852,0.9318,0.5145,358.2866,256.4481,286.0782
846.8702,0.1838,0.9315,0.5164,358.6372,256.5517,285.995
846.8811,0.1825,0.9312,0.5181,358.768,256.7257,285.8223
846.8922,0.1815,0.931,0.5197,358.6524,256.9016,285.5482
