timestamp,log_type,message
0,Log,Loaded: D:\shanaa\repos\reachWithPlaneV2\UFile-reachToTarget-planeV2\data\participant_list_vA.csv
0.02,Warning,"A Canvas named ""[UXF_UI]"" with a render mode of ScreenSpaceOverlay is being used while VR is also enabled. This Canvas will continue to incur a rendering cost but will not be visible while in VR. Is this intentional?"
14.60508,Log,Updating: D:\shanaa\repos\reachWithPlaneV2\UFile-reachToTarget-planeV2\data\participant_list_vA.csv
16.21683,Warning,Warning: Session already exists! Continuing will overwrite
20.50077,Log,Home Position Transformed: (0.250781 0.9510624 0.4222822)
23.2082,Log,running end and prepare
26.03784,Log,Reach Time: 2.82
28.50468,Log,Reach Time: 1.200001
30.43809,Log,Reach Time: 0.9800014
32.26046,Log,Reach Time: 0.9599991
34.02705,Log,Reach Time: 0.9400024
36.02713,Log,Reach Time: 0.8600006
37.84927,Log,Reach Time: 1
39.70487,Log,Reach Time: 0.920002
41.40498,Log,Reach Time: 0.8400002
43.10501,Log,Reach Time: 0.8800011
44.78273,Log,Reach Time: 0.8600006
46.40488,Log,Reach Time: 0.8199997
48.10499,Log,Reach Time: 0.8600006
49.72732,Log,Reach Time: 0.8400002
51.36077,Log,Reach Time: 0.8400002
53.02755,Log,Reach Time: 0.8200035
54.58271,Log,Reach Time: 0.8600006
56.16068,Log,Reach Time: 0.7999992
57.86072,Log,Reach Time: 0.8800011
59.38296,Log,Reach Time: 0.6999969
61.00536,Log,Reach Time: 0.8000031
62.56057,Log,Reach Time: 0.7399979
64.12747,Log,Reach Time: 0.7599983
65.70551,Log,Reach Time: 0.7999954
67.04952,Log,Reach Time: 0.6800003
68.60542,Log,Reach Time: 0.7600021
70.08303,Log,Reach Time: 0.7400055
71.62767,Log,Reach Time: 0.7799988
73.00526,Log,Reach Time: 0.6600037
74.60545,Log,Reach Time: 0.8000031
76.05001,Log,Reach Time: 0.6600037
77.76109,Log,Reach Time: 0.8799973
79.08324,Log,Reach Time: 0.6600037
80.78327,Log,Reach Time: 0.9000015
82.16113,Log,Reach Time: 0.6800003
83.55125,Log,Reach Time: 0.7400055
85.02796,Log,Reach Time: 0.7200012
86.48301,Log,Reach Time: 0.7200012
88.02769,Log,Reach Time: 0.7600021
89.44991,Log,Reach Time: 0.7199936
90.8499,Log,Reach Time: 0.6399994
92.26112,Log,Reach Time: 0.5799942
93.78355,Log,Reach Time: 0.5
95.3288,Log,Reach Time: 0.6600037
96.76163,Log,Reach Time: 0.659996
98.22785,Log,Reach Time: 0.7000046
99.7282,Log,Reach Time: 0.7000046
101.128,Log,Reach Time: 0.5799942
102.5832,Log,Reach Time: 0.6399994
104.2612,Log,Reach Time: 0.5199966
105.7492,Log,Reach Time: 0.5199966
107.2274,Log,Reach Time: 0.7400055
108.6499,Log,Reach Time: 0.6399994
110.3285,Log,Reach Time: 0.9000015
111.6616,Log,Reach Time: 0.7200012
