time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
871.5816,0.2516,0.9326,0.4296,0.43,253.6217,282.6082
871.5949,0.2525,0.9323,0.4298,0.2614,253.9159,282.3747
871.604,0.2533,0.932,0.43,0.0348,254.0514,282.3332
871.6149,0.2539,0.9322,0.4302,359.7701,254.3152,282.4701
871.6257,0.2543,0.9325,0.4301,359.5313,254.5059,282.6184
871.637,0.2541,0.9326,0.43,359.4299,254.4045,282.7493
871.648,0.2539,0.9326,0.4298,359.3694,254.4242,282.8801
871.6592,0.2534,0.9325,0.4298,359.4803,254.3144,282.7087
871.6703,0.2529,0.9323,0.4297,359.5541,254.1142,282.6544
871.6816,0.2524,0.9322,0.4296,359.6481,253.9331,282.5634
871.6926,0.252,0.9322,0.4296,359.7009,253.727,282.5372
871.7039,0.2516,0.9324,0.4295,359.5454,253.4196,282.6223
871.7148,0.2513,0.9325,0.4296,359.5186,253.3353,282.6635
871.726,0.251,0.9327,0.4295,359.4137,253.1812,282.7285
871.7371,0.2507,0.9328,0.4295,359.4575,252.9818,282.7886
871.7482,0.2505,0.9328,0.4295,359.5131,252.9208,282.7636
871.7594,0.2503,0.9327,0.4294,359.5236,252.7775,282.7582
871.7704,0.2502,0.9328,0.4293,359.5677,252.6891,282.763
871.7814,0.2502,0.9329,0.4293,359.5703,252.6756,282.8293
871.7925,0.2503,0.9331,0.4294,359.5629,252.7032,282.914
871.8037,0.2505,0.9334,0.4294,359.5707,252.7614,283.0627
871.8149,0.2507,0.9337,0.4295,359.5807,252.8337,283.2217
871.826,0.251,0.934,0.4297,359.5754,252.9293,283.386
871.8371,0.2514,0.9343,0.4299,359.6317,253.0209,283.5206
871.8482,0.2518,0.9347,0.43,359.6294,253.0685,283.7324
871.8599,0.2523,0.9354,0.4302,359.513,253.1542,284.0244
871.8704,0.253,0.9361,0.4303,359.3779,253.2648,284.3678
871.8817,0.2537,0.937,0.4303,359.2817,253.4459,284.7966
871.8925,0.2544,0.9379,0.4304,359.1238,253.6575,285.2182
871.9037,0.2552,0.9386,0.4305,358.9449,253.8255,285.5674
871.915,0.256,0.9393,0.4306,358.863,254.0564,285.8443
871.926,0.2568,0.9397,0.4309,358.9541,254.2897,286.0233
871.9372,0.2577,0.94,0.4312,358.8946,254.4751,286.0938
871.9482,0.2587,0.9403,0.4316,358.5305,254.6667,286.0884
871.9594,0.2597,0.9404,0.432,358.3266,254.9619,285.9403
871.9705,0.2607,0.9404,0.4326,358.0467,255.3967,285.7422
871.9815,0.2618,0.9402,0.4334,357.8124,256.0016,285.5197
871.9928,0.2628,0.9399,0.4343,357.6386,256.6123,285.3521
872.0037,0.2641,0.9396,0.4358,357.5509,257.5893,285.3364
872.0151,0.2656,0.9394,0.4379,357.6117,258.8465,285.3622
872.0261,0.2677,0.9392,0.4406,357.8821,260.455,285.4621
872.0372,0.2703,0.9393,0.4434,358.0892,262.0472,285.6454
872.0483,0.2735,0.9396,0.4465,358.0729,263.6916,285.8253
872.0595,0.2772,0.94,0.4498,357.8707,265.2971,285.8663
872.0706,0.2811,0.9404,0.4532,357.5119,266.9933,285.7596
872.0815,0.2856,0.9408,0.4569,356.9044,268.8556,285.3742
872.0927,0.2902,0.9411,0.4605,356.2737,270.8027,284.8448
872.1039,0.2952,0.9413,0.464,355.6154,272.7934,284.2853
872.1149,0.3003,0.9417,0.4673,355.0463,274.6695,283.9026
872.1259,0.3054,0.942,0.4703,354.5232,276.4095,283.6691
872.1371,0.3104,0.9424,0.4733,354.0637,278.0349,283.4266
872.1483,0.3155,0.9427,0.4762,353.6977,279.5121,283.1935
872.1594,0.3206,0.943,0.4791,353.422,280.9548,283.005
