time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
118.084,0.2495,0.9514,0.4237,354.7704,246.6554,290.4135
118.0966,0.249,0.9502,0.4199,356.1965,245.9477,291.2407
118.1058,0.2477,0.9482,0.418,356.5955,244.7255,290.7719
118.1167,0.2493,0.9468,0.4212,355.0562,248.0443,288.0658
118.1277,0.2509,0.9471,0.4228,353.4905,248.8695,288.7722
118.1388,0.2522,0.9469,0.4226,353.2709,248.7584,289.143
118.1504,0.2528,0.9464,0.4228,353.2466,248.6254,289.302
118.1613,0.2534,0.9459,0.4233,353.2958,248.8015,288.9894
118.1724,0.2537,0.9457,0.4236,353.4406,248.9711,289.0826
118.1835,0.2538,0.9453,0.4238,353.3494,249.0395,288.8331
118.1951,0.2537,0.9452,0.4235,353.2313,248.8472,288.9546
118.2059,0.2535,0.9453,0.4234,353.0558,248.7662,289.0446
118.2172,0.2532,0.9454,0.4233,353.1157,248.6797,289.1642
118.228,0.253,0.9456,0.4233,353.1335,248.6403,289.1761
118.2395,0.2527,0.9459,0.4231,353.1627,248.3952,289.3024
118.2501,0.2524,0.9462,0.423,353.2511,248.2283,289.491
118.2615,0.2521,0.9464,0.423,353.3918,248.0879,289.5554
118.2723,0.2518,0.9466,0.423,353.4518,247.8403,289.6616
118.2837,0.2515,0.9469,0.423,353.5391,247.6875,289.7446
118.2947,0.2512,0.9471,0.423,353.6482,247.5012,289.8375
118.3059,0.251,0.9473,0.4229,353.7002,247.222,290.0042
118.317,0.2506,0.9474,0.4229,353.8045,246.9649,290.083
118.3282,0.2503,0.9476,0.4229,353.8851,246.7135,290.1652
118.3392,0.2499,0.9478,0.4229,354.0063,246.3707,290.2764
118.3508,0.2495,0.9481,0.4228,354.129,246.0592,290.4741
118.3615,0.2492,0.9484,0.4228,354.2253,245.7644,290.6166
118.3726,0.2488,0.9486,0.4228,354.3445,245.4839,290.6926
118.3836,0.2483,0.9487,0.4228,354.4705,245.1955,290.734
118.3948,0.2478,0.9488,0.423,354.6838,245.0058,290.7336
118.4057,0.2472,0.9488,0.4231,354.9521,244.8967,290.5506
118.4169,0.2466,0.9487,0.4233,355.0472,244.6507,290.4809
118.4278,0.2461,0.9487,0.4237,355.0597,244.4402,290.3665
118.4393,0.2455,0.9486,0.4242,354.9955,244.2845,290.1433
118.4505,0.2449,0.9483,0.4247,354.9478,244.115,289.9471
118.4617,0.2443,0.9481,0.4253,354.976,243.939,289.8419
118.4724,0.2438,0.9478,0.4264,355.1525,244.1054,289.9614
118.4837,0.2435,0.9475,0.4279,355.2737,244.5342,289.9517
118.4947,0.2433,0.9473,0.4302,355.0744,245.0434,289.5765
118.5059,0.2434,0.9475,0.4325,355.0977,245.7398,290.0446
118.5168,0.2435,0.9476,0.4355,355.3073,246.3885,290.5061
118.5282,0.2437,0.9476,0.4386,355.4807,247.0352,290.6876
118.5392,0.2439,0.9478,0.4422,355.5499,247.5885,290.8188
118.5504,0.2442,0.948,0.4458,355.3747,248.0213,290.9387
118.5615,0.2444,0.9482,0.4495,355.1456,248.4739,290.935
118.5726,0.2447,0.9483,0.4536,354.9145,248.9559,290.8156
118.5838,0.2449,0.9485,0.4576,354.7593,249.4752,290.7517
118.5947,0.2451,0.9486,0.4618,354.6353,250.0159,290.7432
118.6058,0.2453,0.9487,0.466,354.5378,250.5643,290.7018
118.6169,0.2455,0.9488,0.4702,354.4876,251.1324,290.7044
118.6282,0.2457,0.9489,0.4743,354.4838,251.606,290.7855
118.6392,0.2458,0.9488,0.4784,354.5462,252.0608,290.8073
118.6503,0.2458,0.9484,0.4826,354.7464,252.5076,290.6604
118.6616,0.2459,0.9481,0.4867,354.9517,253.0389,290.4313
118.6727,0.2459,0.9479,0.4907,354.9645,253.5914,290.3087
118.6837,0.2461,0.9479,0.4945,354.7933,254.0726,290.2903
118.6947,0.2462,0.9479,0.4981,354.4892,254.4733,290.1659
118.7059,0.2462,0.9477,0.5016,354.2672,254.8611,289.9849
118.717,0.246,0.9475,0.5046,354.24,255.1316,289.8611
118.728,0.2457,0.9471,0.5075,354.3771,255.3231,289.7738
118.7392,0.2453,0.9466,0.5101,354.6015,255.4814,289.6486
118.7507,0.2449,0.9461,0.5128,354.8086,255.7321,289.4063
118.7613,0.2445,0.9455,0.5155,354.9471,256.0952,289.0682
118.7726,0.2442,0.9451,0.518,354.9681,256.4167,288.8027
118.7836,0.244,0.9449,0.5203,354.9529,256.6432,288.7341
118.7949,0.2438,0.9448,0.5224,354.9986,256.8697,288.8592
118.8059,0.2436,0.9446,0.5242,355.2452,256.999,289.1405
118.8171,0.2433,0.9444,0.526,355.6722,257.0471,289.3804
118.8278,0.243,0.944,0.5277,356.0919,257.1434,289.4352
118.8392,0.2429,0.9436,0.5295,356.2873,257.3759,289.3072
118.8503,0.243,0.9435,0.5313,356.1589,257.7033,289.0584
118.8613,0.2432,0.9435,0.533,355.8829,258.0044,288.8985
118.8726,0.2433,0.9437,0.5343,355.5362,258.1534,288.8351
118.8835,0.2433,0.9439,0.5356,355.2916,258.2132,288.8036
118.8948,0.2433,0.9442,0.5366,355.1779,258.2558,288.8438
118.9058,0.2433,0.9444,0.5374,355.2026,258.2708,288.9484
118.9184,0.2432,0.9448,0.538,355.308,258.248,289.116
118.9285,0.2431,0.9452,0.5386,355.4069,258.2792,289.2856
118.9391,0.2432,0.9457,0.5392,355.4284,258.4026,289.4089
