time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
905.7263,0.2519,0.93,0.43,358.1339,253.2812,281.9971
905.739,0.2519,0.9305,0.429,358.4686,253.2363,282.7409
905.7484,0.2529,0.9329,0.4292,357.9041,254.1408,284.0711
905.7594,0.2536,0.9338,0.4296,357.8674,254.5498,283.8803
905.7704,0.2548,0.9347,0.4298,357.9994,255.5399,283.9131
905.7816,0.2556,0.9355,0.4298,358.3279,255.7816,284.2203
905.7926,0.256,0.9362,0.4293,358.5195,255.6984,284.8173
905.8039,0.2562,0.9364,0.4292,358.6577,255.6537,284.8752
905.815,0.2564,0.9363,0.4292,358.5291,255.7356,284.7433
905.8267,0.2562,0.936,0.4292,358.4392,255.7385,284.6283
905.8372,0.256,0.9355,0.4293,358.3402,255.6565,284.4651
905.8483,0.2557,0.9349,0.4292,358.2588,255.5579,284.3208
905.8595,0.2553,0.9342,0.4293,358.1218,255.4395,283.9497
905.8708,0.255,0.9336,0.4294,357.9984,255.429,283.6854
905.8819,0.2548,0.9332,0.4295,357.8437,255.4252,283.5159
905.8929,0.2546,0.9328,0.4296,357.7544,255.3371,283.3782
905.9039,0.2544,0.9328,0.4296,357.5927,255.2121,283.3829
905.915,0.2542,0.9326,0.4297,357.4069,255.121,283.2441
905.9264,0.2541,0.9326,0.4299,357.2398,255.0968,283.2758
905.9376,0.2539,0.9325,0.4299,357.1694,254.9399,283.2443
905.9484,0.2537,0.9324,0.4299,357.151,254.7863,283.2677
905.9596,0.2534,0.9323,0.43,357.1319,254.5254,283.1587
905.9706,0.2531,0.9323,0.43,357.1538,254.3741,283.1665
905.982,0.2528,0.9325,0.43,357.12,254.1659,283.2368
905.993,0.2526,0.9327,0.43,357.1512,253.9922,283.3627
906.0042,0.2524,0.9331,0.4301,357.1968,253.8506,283.5258
906.0151,0.2523,0.9336,0.4301,357.2393,253.6778,283.7472
906.0264,0.2521,0.9342,0.4302,357.2986,253.4852,284.0258
906.0374,0.2519,0.9348,0.4302,357.3907,253.2078,284.3263
906.0486,0.2515,0.9353,0.4302,357.4811,252.8668,284.6058
906.0598,0.2509,0.936,0.4301,357.4978,252.48,284.8876
906.0709,0.2503,0.9367,0.4301,357.4399,252.0107,285.1681
906.0819,0.2494,0.9373,0.4301,357.2923,251.402,285.3464
906.093,0.2484,0.9376,0.4304,357.3773,251.0462,285.2979
906.1041,0.2473,0.9377,0.431,357.4726,250.8696,285.0304
906.1154,0.2461,0.9376,0.4316,357.5497,250.6614,284.7725
906.1262,0.2447,0.9374,0.4323,357.5813,250.4211,284.4352
906.1377,0.2432,0.9374,0.4334,357.3822,250.2168,284.0564
906.1485,0.2418,0.9377,0.4351,356.9252,250.4353,283.7603
906.1597,0.2409,0.9387,0.438,356.1363,251.5629,283.8689
906.1716,0.2401,0.9398,0.4416,355.3606,253.1817,284.0682
906.1819,0.2392,0.9407,0.4457,354.8649,254.7176,284.0563
906.1931,0.238,0.9415,0.4495,354.6827,255.6761,283.9308
906.2041,0.2362,0.9425,0.4529,355.11,256.0558,284.161
906.2152,0.2343,0.9436,0.4561,355.7281,256.1853,284.7188
906.2264,0.2323,0.945,0.4594,356.3921,256.3135,285.3684
906.2374,0.2303,0.9466,0.4631,356.7664,256.7582,285.7283
906.2486,0.2285,0.9483,0.4669,356.7446,257.3935,285.9929
906.2598,0.2268,0.9504,0.4706,356.2895,258.0736,286.2709
906.2709,0.2251,0.9526,0.4743,355.4234,258.6254,286.3846
906.2819,0.223,0.9547,0.4777,354.6729,258.8787,286.2284
906.2933,0.2207,0.9565,0.481,354.2531,258.9135,286.0739
906.3041,0.2182,0.9583,0.484,354.1934,258.7686,286.0805
906.3153,0.2156,0.9599,0.487,354.7031,258.6007,286.3236
906.3263,0.213,0.9615,0.4901,355.5908,258.7068,286.8017
906.3374,0.2107,0.9632,0.4934,356.51,259.1952,287.4385
